time, intensity
1645336337,600000.0
1645336337,100000.0
1645336337,100000.0
1645336337,100000.0
1645336337,100000.0
1645336337,0.0
1645336337,-200000.0
1645336337,-1900000.0
1645336337,-4100000.0
1645336337,-6500000.0
1645336337,-9000000.0
1645336337,-11500000.0
1645336337,-14900000.0
1645336337,-18000000.0
1645336337,-21600000.0
1645336338,-13400000.0
1645336338,100000.0
1645336339,100000.0
1645336339,100000.0
1645336339,100000.0
1645336339,100000.0
1645336339,100000.0
1645336339,100000.0
1645336339,100000.0
1645336339,100000.0
1645336339,100000.0
1645336339,100000.0
1645336340,100000.0
1645336340,100000.0
1645336340,-100000.0
1645336340,-1500000.0
1645336340,-3800000.0
1645336340,-5700000.0
1645336340,-8400000.0
1645336340,-10800000.0
1645336340,-14500000.0
1645336340,-17400000.0
1645336341,-21400000.0
1645336341,-23300000.0
1645336341,-28100000.0
1645336341,-30500000.0
1645336341,-34000000.0
1645336341,-36100000.0
1645336341,-36800000.0
1645336341,-36700000.0
1645336341,-36800000.0
1645336341,-37000000.0
1645336342,-36800000.0
1645336342,-36600000.0
1645336342,-36000000.0
1645336342,-36000000.0
1645336342,-35500000.0
1645336342,-35200000.0
1645336342,-34200000.0
1645336342,-33300000.0
1645336342,-32300000.0
1645336342,-31000000.0
1645336343,-29000000.0
1645336343,-26100000.0
1645336343,-22700000.0
1645336343,-18700000.0
1645336343,-14200000.0
1645336343,-8900000.0
1645336343,-4200000.0
1645336343,-300000.0
1645336343,100000.0
1645336343,100000.0
1645336344,100000.0
1645336344,100000.0
1645336344,100000.0
1645336344,100000.0
1645336344,100000.0
1645336344,100000.0
1645336344,100000.0
1645336344,100000.0
1645336344,100000.0
1645336344,100000.0
1645336345,100000.0
1645336345,100000.0
1645336345,100000.0
1645336345,100000.0
1645336345,100000.0
1645336345,100000.0
1645336345,100000.0
1645336345,100000.0
1645336345,100000.0
1645336345,100000.0
1645336346,100000.0
1645336346,100000.0
1645336346,100000.0
1645336346,100000.0
1645336346,-200000.0
1645336346,-2000000.0
1645336346,-4100000.0
1645336346,-6500000.0
1645336346,-8900000.0
1645336346,-11600000.0
1645336347,-14700000.0
1645336347,-18100000.0
1645336347,-21300000.0
1645336347,-25100000.0
1645336347,-28100000.0
1645336347,-32000000.0
1645336347,-34900000.0
1645336347,-36600000.0
1645336347,-36900000.0
1645336347,-36600000.0
1645336348,-36700000.0
1645336348,-36700000.0
1645336348,-36500000.0
1645336348,-36300000.0
1645336348,-35800000.0
1645336348,-35800000.0
1645336348,-35300000.0
1645336348,-34500000.0
1645336348,-33800000.0
1645336348,-32800000.0
1645336349,-31700000.0
1645336349,-30300000.0
1645336349,-28300000.0
1645336349,-25300000.0
1645336349,-21600000.0
1645336349,-17700000.0
1645336349,-12700000.0
1645336349,-9200000.0
1645336349,-4300000.0
1645336349,100000.0
1645336350,100000.0
1645336350,100000.0
1645336350,100000.0
1645336350,100000.0
1645336350,100000.0
1645336350,100000.0
1645336350,100000.0
1645336350,100000.0
1645336395,-17400000.0
1645336395,-1400000.0
1645336395,-3000000.0
1645336395,-4600000.0
1645336395,-6300000.0
1645336395,-8200000.0
1645336395,-10300000.0
1645336395,-12700000.0
1645336395,-15700000.0
1645336395,-19100000.0
1645336396,-22400000.0
1645336396,-24000000.0
1645336396,-26900000.0
1645336396,-29800000.0
1645336396,-33200000.0
1645336396,-35100000.0
1645336396,-35600000.0
1645336396,-36300000.0
1645336396,-36300000.0
1645336396,-36200000.0
1645336397,-36300000.0
1645336397,-35900000.0
1645336397,-35700000.0
1645336397,-35300000.0
1645336442,-1600000.0
1645336442,-3500000.0
1645336442,-6000000.0
1645336442,-7600000.0
1645336442,-9800000.0
1645336442,-11800000.0
1645336442,-14800000.0
1645336442,-17700000.0
1645336442,-20300000.0
1645336442,-22900000.0
1645336442,-25400000.0
1645336442,-27900000.0
1645336452,0.0
1645336452,-18300000.0
1645336452,-15600000.0
1645336452,-11200000.0
1645336452,-5500000.0
1645336452,-900000.0
1645336452,100000.0
1645336452,100000.0
1645336452,100000.0
1645336452,100000.0
1645336452,100000.0
1645336452,100000.0
1645336452,100000.0
1645336471,-16500000.0
1645336471,100000.0
1645336471,100000.0
1645336471,100000.0
1645336471,100000.0
1645336471,100000.0
1645336471,100000.0
1645336472,100000.0
1645336472,100000.0
1645336472,100000.0
1645336472,100000.0
1645336472,100000.0
1645336472,100000.0
1645336472,100000.0
1645336472,-400000.0
1645336472,-1600000.0
1645336472,-3300000.0
1645336473,-5800000.0
1645336473,-7800000.0
1645336473,-10100000.0
1645336473,-11700000.0
1645336473,-14400000.0
1645336473,-17200000.0
1645336473,-20300000.0
1645336473,-22800000.0
1645336473,-25500000.0
1645336474,-28300000.0
1645336474,-31400000.0
1645336474,-33800000.0
1645336474,-35000000.0
1645336474,-35600000.0
1645336474,-36100000.0
1645336474,-35800000.0
1645336474,-35400000.0
1645336474,-35100000.0
1645336474,-34700000.0
1645336475,-34200000.0
1645336475,-33100000.0
1645336475,-31500000.0
1645336475,-30500000.0
1645336475,-28800000.0
1645336475,-26000000.0
1645336475,-23000000.0
1645336475,-19400000.0
1645336475,-15300000.0
1645336475,-10800000.0
1645336476,-5500000.0
1645336476,-1600000.0
1645336476,100000.0
1645336476,100000.0
1645336476,100000.0
1645336476,100000.0
1645336476,100000.0
1645336476,100000.0
1645336476,100000.0
1645336476,100000.0
1645336477,100000.0
1645336477,100000.0
1645336477,100000.0
1645336477,100000.0
1645336477,100000.0
1645336477,100000.0
1645336477,100000.0
1645336477,100000.0
1645336477,100000.0
1645336477,100000.0
1645336478,100000.0
1645336478,100000.0
1645336478,100000.0
1645336478,-500000.0
1645336478,-2100000.0
1645336478,-4100000.0
1645336478,-6900000.0
1645336478,-9000000.0
1645336478,-11500000.0
1645336478,-14200000.0
1645336479,-17400000.0
1645336479,-20600000.0
1645336479,-23900000.0
1645336479,-26600000.0
1645336479,-29700000.0
1645336479,-32900000.0
1645336479,-34900000.0
1645336479,-36100000.0
1645336479,-36100000.0
1645336479,-36100000.0
1645336480,-35900000.0
1645336480,-35500000.0
1645336480,-35200000.0
1645336480,-34800000.0
1645336480,-34000000.0
1645336480,-32800000.0
1645336480,-31800000.0
1645336480,-30300000.0
1645336480,-28600000.0
1645336480,-26500000.0
1645336481,-23000000.0
1645336481,-18400000.0
1645336481,-13700000.0
1645336481,-7600000.0
1645336481,-1600000.0
1645336481,100000.0
1645336481,100000.0
1645336481,100000.0
1645336481,100000.0
1645336481,100000.0
1645336482,100000.0
1645336482,100000.0
1645336482,100000.0
1645336482,100000.0
1645336482,100000.0
1645336482,100000.0
1645336482,100000.0
1645336482,100000.0
1645336482,100000.0
1645336482,100000.0
1645336483,100000.0
1645336483,100000.0
1645336483,100000.0
1645336483,100000.0
1645336483,100000.0
1645336483,100000.0
1645336483,100000.0
1645336483,-400000.0
1645336483,-3000000.0
1645336483,-5100000.0
1645336484,-8100000.0
1645336484,-10600000.0
1645336484,-14100000.0
1645336484,-18000000.0
1645336484,-21800000.0
1645336484,-26000000.0
1645336484,-29900000.0
1645336484,-32900000.0
1645336484,-34300000.0
1645336484,-36100000.0
1645336485,-36600000.0
1645336485,-36700000.0
1645336485,-36700000.0
1645336485,-36500000.0
1645336485,-36200000.0
1645336485,-35900000.0
1645336485,-35500000.0
1645336485,-34900000.0
1645336485,-34100000.0
1645336485,-32500000.0
1645336486,-31100000.0
1645336486,-30200000.0
1645336486,-27600000.0
1645336486,-23500000.0
1645336486,-18500000.0
1645336486,-13800000.0
1645336486,-7200000.0
1645336486,-2400000.0
1645336486,100000.0
1645336486,100000.0
1645336487,100000.0
1645336487,100000.0
1645336487,100000.0
1645336487,100000.0
1645336487,100000.0
1645336487,100000.0
1645336487,100000.0
